V1	12345678	15-07-2021 14:17:08	0.0	0.0	0.0
V2	12345678	15-07-2021 14:53:04	105.93220338983052	19.06779661016949	125.0
V3	12345785	15-07-2021 14:58:07	0.0	0.0	0.0
V4	12345678	20-07-2021 23:17:43	0.0	0.0	0.0
V5	1345648	20-07-2021 23:54:54	0.0	0.0	0.0
V6	12345678	21-07-2021 00:00:31	0.0	0.0	0.0
V7	12345678	21-07-2021 00:30:49	932.2033898305085	167.79661016949152	1100.0
V8	12345678	21-07-2021 00:37:41	0.0	0.0	0.0
V9	12345678	21-07-2021 00:53:16	0.0	0.0	0.0
V10	12345678	21-07-2021 01:02:34	0.0	0.0	0.0
V11	12345678	21-07-2021 01:04:40	0.0	0.0	0.0
V12	12345678	21-07-2021 01:05:05	0.0	0.0	0.0
V13	12345678	21-07-2021 01:07:38	0.0	0.0	0.0
V14	12345678	21-07-2021 02:38:07	0.0	0.0	0.0
V15	12345678	21-07-2021 02:39:03	0.0	0.0	0.0
V16	12345678	21-07-2021 02:40:02	0.0	0.0	0.0
